title,prediksi_rating
Toy Story,2.7891732797537987
Jumanji,1.471277015783362
Grumpier Old Men,1.2808697466603245
Waiting to Exhale,-0.0248563616171562
Father of the Bride Part II,0.2547585684672465
Heat,1.6095311192689055
Sabrina,0.2323956287808623
Tom and Huck,0.11594812694386235
Sudden Death,0.19322721655284592
GoldenEye,1.286941619394513
"American President, The",0.07237748913327575
Dracula: Dead and Loving It,0.45450321747844946
Balto,0.23611531955263934
Nixon,0.05114480099617819
Cutthroat Island,-0.0312623141987931
Casino,1.2469132816866948
Sense and Sensibility,-0.19215388191426452
Four Rooms,0.2741287613851094
Ace Ventura: When Nature Calls,1.046264235597875
Money Train,0.18926168378010783
Get Shorty,0.6537806350158458
Copycat,0.4590624930721298
Assassins,0.055294335568014316
Powder,0.7317539483795037
Leaving Las Vegas,0.52252139011057
Othello,-0.08150192373114387
Now and Then,-0.010562830096909242
Persuasion,-0.21719840449652095
"City of Lost Children, The (Cité des enfants perdus, La)",1.0559486820055228
Shanghai Triad (Yao a yao yao dao waipo qiao),-0.004040062157182647
Dangerous Minds,-0.03531764772221612
Twelve Monkeys (a.k.a. 12 Monkeys),3.100784041424607
Babe,1.3491426958395623
Dead Man Walking,0.30352085085218594
It Takes Two,0.05219881536469293
Clueless,0.6220688847763177
"Cry, the Beloved Country",0.008513178473622268
Richard III,0.06244480909416561
Dead Presidents,0.13247164837189448
Restoration,-0.04795007591532869
Mortal Kombat,0.7177867124821624
To Die For,0.10736907010053875
How to Make an American Quilt,-0.03571433633797308
Seven (a.k.a. Se7en),2.5177717335838428
Pocahontas,0.5232424464627841
When Night Is Falling,0.05193055614443995
"Usual Suspects, The",2.739686288188289
Mighty Aphrodite,0.112097298460321
Lamerica,-0.06533439400913843
"Big Green, The",0.07130269208687925
Georgia,-0.028865825868311552
Home for the Holidays,-0.11905829632453224
"Postman, The (Postino, Il)",0.27042325428875613
"Indian in the Cupboard, The",0.44821841217863684
Eye for an Eye,-0.05104574450189023
Mr. Holland's Opus,0.27667579218298505
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0.13615339039522603
Two if by Sea,0.12720838848243549
Bio-Dome,0.8334558934075638
Lawnmower Man 2: Beyond Cyberspace,0.08312013656974018
French Twist (Gazon maudit),-0.07226657451713389
Friday,0.86359324573365
From Dusk Till Dawn,1.137296533916304
Fair Game,-0.033757618140913985
Kicking and Screaming,0.4302099234811983
"Misérables, Les",-0.00394176959331034
Bed of Roses,0.06150518533473243
Big Bully,0.17962408760499748
Screamers,0.32849170108304393
Nico Icon,-0.048015126811475496
"Crossing Guard, The",0.03177210130254122
"Juror, The",0.0981792219978295
"White Balloon, The (Badkonake sefid)",-0.0682425443148832
Things to Do in Denver When You're Dead,0.21055678750923384
Antonia's Line (Antonia),-0.11874047896242698
Once Upon a Time... When We Were Colored,0.0036330328693246813
Angels and Insects,0.09317547094792401
White Squall,0.30091909247400256
Dunston Checks In,0.2762624024897912
Black Sheep,0.7452670573056941
Nick of Time,0.2240013191437271
Mary Reilly,0.021489231000198353
Vampire in Brooklyn,0.15095135966103396
Beautiful Girls,0.10552154857573239
Broken Arrow,0.5128500385272269
In the Bleak Midwinter,-0.02609148098509951
"Hate (Haine, La)",-0.0409489005614065
Heidi Fleiss: Hollywood Madam,-0.07246341358804242
City Hall,-0.06066033540218705
Bottle Rocket,0.6868476081056079
Mr. Wrong,0.04164606614534118
Unforgettable,0.030197639057136696
Happy Gilmore,1.4480963827997957
"Bridges of Madison County, The",-0.09961042779911647
Nobody Loves Me (Keiner liebt mich),0.009796108599496306
Muppet Treasure Island,0.6133082856080766
Catwalk,-0.048015126811475496
Braveheart,2.503942174815778
Taxi Driver,1.0889297845344268
Rumble in the Bronx (Hont faan kui),0.49620386590699417
Before and After,-0.03982367386886918
Anne Frank Remembered,0.14131507695435913
"Young Poisoner's Handbook, The",-0.0009989136300789755
If Lucy Fell,0.12990324240515122
"Steal Big, Steal Little",0.03537027320861851
"Boys of St. Vincent, The",-0.06288783788434056
Boomerang,0.06096823402248295
Chungking Express (Chung Hing sam lam),0.08075449482528287
Flirting With Disaster,0.058273407764756265
"NeverEnding Story III, The",0.06986426976449504
Jupiter's Wife,0.003525083210338963
Pie in the Sky,-0.002689950785030999
Jade,0.04856877811987731
Down Periscope,0.48556302827372616
Man of the Year,-0.003682367870352446
Up Close and Personal,-0.1542068088906273
"Birdcage, The",1.1072427662777162
"Brothers McMullen, The",0.09572287240519806
Bad Boys,0.6990066427457762
"Amazing Panda Adventure, The",-0.08761915149457786
"Basketball Diaries, The",-0.13010374699436886
"Awfully Big Adventure, An",-0.012444505073697995
Amateur,-0.024007563405737748
Apollo 13,1.0067061176240462
Rob Roy,0.4000723373879744
"Addiction, The",0.03496469556425483
Batman Forever,1.0749829552030141
Beauty of the Day (Belle de jour),-0.11255756442794791
Beyond Rangoon,0.012193780465390738
Blue in the Face,-0.12842976680594276
Canadian Bacon,0.356820847683559
Casper,0.699080234250703
Clockers,-0.0008140542160356198
Congo,0.53409225088937
Crimson Tide,0.05232063782019522
Crumb,0.17312432975012845
Desperado,0.8259955886198114
Devil in a Blue Dress,0.0037860056294280117
Die Hard: With a Vengeance,0.8249564215624822
"Doom Generation, The",-0.028673111700339024
First Knight,-0.0653762047937944
Free Willy 2: The Adventure Home,0.001462991728419096
Hackers,0.6065724235752914
Jeffrey,0.07136957966903167
Johnny Mnemonic,0.8361317039128746
Judge Dredd,0.6832991357610374
Jury Duty,0.18598031925285863
Kids,0.053869966277569646
Living in Oblivion,0.2950334045429698
Lord of Illusions,0.03393134513826976
Love & Human Remains,-0.002488901014739594
Mad Love,0.010452900380192474
Mallrats,0.720400555906886
Mighty Morphin Power Rangers: The Movie,0.28334753245286337
Mute Witness,0.023215361277017517
Nadja,-0.04901404044155445
"Net, The",0.7029395601608637
Nine Months,0.3726732221347959
Party Girl,0.2376609335493864
"Prophecy, The",0.26598496342427314
Reckless,-0.009761270006296403
Safe,-0.012337665030884461
"Scarlet Letter, The",-0.024988728054178233
Showgirls,-0.053867321977630084
Smoke,-0.34359543978487966
Something to Talk About,-0.044097498685954764
Species,0.9013391892728121
Strange Days,0.6688679868592811
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",-0.06491621440515735
Three Wishes,-0.009761270006296403
Total Eclipse,-0.06934261441648473
"To Wong Foo, Thanks for Everything! Julie Newmar",0.17938631413869063
Under Siege 2: Dark Territory,0.32319453291089495
Unstrung Heroes,0.1270618798234996
Unzipped,-0.030383745323169904
"Walk in the Clouds, A",-0.2128090552500724
Waterworld,0.8409876681337051
White Man's Burden,-0.03315166049720189
Wild Bill,-0.09654759628754926
"Browning Version, The",-0.011271505373275571
Bushwhacked,0.08062163990544073
Burnt by the Sun (Utomlyonnye solntsem),-0.09638568857481897
